Y01-AA-FOR-0098 Project Stock Record ,,,,,,,,,,,
,,,,,,,,,,,
PART NUMBER,DESCRIPTION,QUANTITY,BATCH/LOT/ DATE CODE,DELIVERY NUMBER,DATE RECEIVED,JOB/PROJECT REF.,LOCATION,COMMENTS,PURCHASE ORDER NUMBER,LINK TO DELIVERY NOTE ,
NSYRSW40,SWING RACK SIDE 19 40U,20,N/A,185947447,14/01/2016,A70,A70,,PO001371,U:\DOC108.pdf,
TRI 1/5WHR 100,1 x 1.5 TRI-RATED 1KV WHITE CABLE,50 x 100M,N/A,W/2665076,14/01/2016,A54,A54,,PO001386,U:\DOC113.pdf,
TRI 2/5WHR 100,1 x 2.5 TRI-RATED 1KV WHITE CABLE,10 x 100M,N/A,W/2665076,14/01/2016,A54,A54,,PO001386,U:\DOC113.pdf,
R6Q21/1,6A 2 POS. OFF/ON 90 DEGREE ROTARY SWITCH,4,N/A,134735,14/01/2016,A29,A29, -RETURNED 18/01/16,PO001377,U:\DOC112.pdf,
22Z/R6/KNOB,22Z/R6/KNOB ACTUATOR,4,N/A,134735,14/01/2016,A29,A29,  -RETURNED 18/01/16,PO001377,U:\DOC112.pdf,
NSYGFR95M65,M6 FIXING KIT,11,2015/44,185954221,19/01/2016,A70,A70,  11 PACKS x  50 SETS,PO001368,U:\DOC114.pdf,
CM5123.500,RITTAL C/W PLATE,1,N/A,174-311971,19/01/2016,A72,A72,,PO001392,U:\DOC115.pdf,
5001.225,RITTAL GLAND PLATE,2,N/A,174-311971,19/01/2016,A72,A72,,PO001392,U:\DOC115.pdf,
8602.200,RITTAL PLINTH,1,N/A,174-311971,19/01/2016,A72,A72,,PO001392,U:\DOC115.pdf,
8602.040,RITTAL CABINET,1,N/A,174-311971,19/01/2016,A72,A72,,PO001392,U:\DOC115.pdf,
SC203 ,SLOTTED CHANNEL,2 x 3M,N/A,174-311971,19/01/2016,A72,A72,,PO001392,U:\DOC115.pdf,
PN082 ,CHANNEL NUT SHORT SPRING,12,N/A,174-311971,19/01/2016,A72,A72,,PO001392,U:\DOC115.pdf,
SB506/08,SQUARE PLATE 40 x 40 X5mm,12,N/A,174-311971,19/01/2016,A72,A72,,PO001392,U:\DOC115.pdf,
23.3020.21,MULTI CONTACT,250,N/A,174-311729,19/01/2016,A70,A70,,PO001360,U:\DOC116.pdf,
66.9171.21,MULTI CONTACT,120,N/A,174-311729,19/01/2016,A70,A70,,PO001360,U:\DOC116.pdf,
M8 ,PHOSPHOR BRONZE SPRING WASHER,2000,N/A,174-311968,19/01/2016,A70,A70,,PO001388,U:\DOC117.pdf,
KLMR150T ,UNITRUNK 150MM TRAY,6,N/A,174-311968,19/01/2016,A70,A70,,PO001388,U:\DOC117.pdf,
AVFM64,BRUSH GUARD,4,N/A,528795756,19/01/2016,A29,A29,,PO001372,U:\DOC118.pdf,
M6,SHAKEPROOF WASHERS BZP,500,N/A,101135,19/01/2016,A70,A70,,C.MURRAY,U:\DOC119.pdf,
M6,FULL NUTS BZP,500,N/A,101135,19/01/2016,A70,A70,,C.MURRAY,U:\DOC119.pdf,
M4,SHAKEPROOF WASHERS BZP,1500,N/A,101135,19/01/2016,A70,A70,,C.MURRAY,U:\DOC119.pdf,
M6 x 16,POZI PAN HEAD SCREW BZP,100,N/A,101135,19/01/2016,A70,A70,,C.MURRAY,U:\DOC119.pdf,
M4 x 10,POZI PAN HEAD SCREW BZP,1000,N/A,101135,19/01/2016,A70,A70,,C.MURRAY,U:\DOC119.pdf,
22Z/R6Q21/1,6A ROTARY SWITCH,4,N/A,134995,21/01/2016,A29,A29,,PO001388,U:\DOC120.pdf,
